iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8.0,0.0806732028722763
1000,-1.0,2.0,8.0,0.0651978999376297
1500,-1.0,2.0,9.0,0.029235105961561203
2000,-1.0,2.0,8.0,0.029638737440109253
2500,-1.0,2.0,8.0,0.03814477100968361
3000,-1.0,2.0,9.0,0.03618677705526352
3500,-1.0,2.0,10.0,0.016603508964180946
4000,-1.0,2.0,10.0,0.03154412657022476
4500,-1.0,2.0,8.0,0.03157525882124901
5000,-0.89,2.11,9.0,0.024491865187883377
5500,-1.0,2.0,8.0,0.02661845274269581
6000,-0.9,2.1,10.0,0.021359197795391083
6500,-1.0,2.0,8.0,0.014666752889752388
7000,-0.89,2.11,9.0,0.012534926645457745
7500,-1.0,2.0,8.0,0.021036917343735695
8000,-1.0,2.0,8.0,0.018794536590576172
8500,-0.88,2.12,8.0,0.00999358668923378
9000,-1.0,2.0,9.0,0.01783788949251175
9500,-1.0,2.0,9.0,0.010380459018051624
10000,-1.0,2.0,8.0,0.01211283728480339
10500,-1.0,2.0,8.0,0.01442318968474865
11000,-1.0,2.0,8.0,0.015636831521987915
11500,-1.0,2.0,10.0,0.015930110588669777
12000,-1.0,2.0,8.0,0.008269323036074638
12500,-1.0,2.0,8.0,0.009876781143248081
13000,-1.0,2.0,11.0,0.008427964523434639
13500,-0.89,2.11,9.0,0.01031179167330265
14000,-0.9,2.1,10.0,0.011600802652537823
14500,-1.0,2.0,10.0,0.011748289689421654
15000,-1.0,2.0,8.0,0.026317935436964035
15500,-1.0,2.0,9.0,0.007223445922136307
16000,-1.0,2.0,10.0,0.020196501165628433
16500,-1.0,2.0,9.0,0.017991486936807632
17000,-1.0,2.0,8.0,0.016830798238515854
17500,-0.62,2.38,8.0,0.010633287951350212
18000,-0.89,2.11,9.0,0.016534028574824333
18500,-0.89,2.11,9.0,0.005120676010847092
19000,-0.89,2.11,9.0,0.009538490325212479
19500,-1.0,2.0,10.0,0.009915240108966827
20000,-1.0,2.0,9.0,0.003609379753470421
20500,-1.0,2.0,10.0,0.0031748353503644466
21000,-1.0,2.0,9.0,0.012660826556384563
21500,-0.89,2.11,9.0,0.02343367598950863
22000,-1.0,2.0,11.0,0.005974104627966881
22500,-1.0,2.0,10.0,0.011586672626435757
23000,-0.9,2.1,10.0,0.005917310249060392
23500,-1.0,2.0,10.0,0.01626911200582981
24000,-1.0,2.0,10.0,0.01519071590155363
24500,-1.0,2.0,9.0,0.0052704643458127975
25000,-1.0,2.0,9.0,0.01195551734417677
25500,-1.0,2.0,8.0,0.01621270179748535
26000,-1.0,2.0,8.0,0.005748911760747433
26500,-1.0,2.0,8.0,0.018088754266500473
27000,-1.0,2.0,8.0,0.005320567172020674
27500,-0.88,2.12,8.0,0.008333747275173664
28000,-1.0,2.0,8.0,0.009970786049962044
28500,-1.0,2.0,8.0,0.004066897556185722
29000,-1.0,2.0,8.0,0.004047329071909189
29500,-1.0,2.0,8.0,0.005142827518284321
30000,-1.0,2.0,8.0,0.00333636486902833
30500,-1.0,2.0,8.0,0.013264806941151619
31000,-0.92,2.08,12.0,0.015666458755731583
31500,-1.0,2.0,8.0,0.008050462231040001
32000,-1.0,2.0,8.0,0.009342072531580925
32500,-1.0,2.0,9.0,0.007064550183713436
33000,-1.0,2.0,9.0,0.004944104701280594
33500,-1.0,2.0,8.0,0.004784627817571163
34000,-1.0,2.0,8.0,0.002573227509856224
34500,-1.0,2.0,8.0,0.005987168289721012
35000,-0.89,2.11,9.0,0.009960015304386616
35500,-1.0,2.0,8.0,0.0050761704333126545
36000,-1.0,2.0,8.0,0.0038682096637785435
36500,-1.0,2.0,8.0,0.013821730390191078
37000,-1.0,2.0,9.0,0.004159855656325817
37500,-0.9,2.1,10.0,0.0051529137417674065
38000,-1.0,2.0,9.0,0.021229248493909836
38500,-1.0,2.0,8.0,0.0042115142568945885
39000,-1.0,2.0,9.0,0.012670420110225677
39500,-1.0,2.0,9.0,0.00865546241402626
40000,-0.9,2.1,10.0,0.008943388238549232
40500,-0.91,2.09,11.0,0.013215037994086742
41000,-0.88,2.12,8.0,0.004957189317792654
41500,-0.89,2.11,9.0,0.00732881436124444
42000,-1.0,2.0,8.0,0.012228401377797127
42500,-1.0,2.0,8.0,0.008287543430924416
43000,-1.0,2.0,9.0,0.006153338588774204
43500,-1.0,2.0,8.0,0.007642070762813091
44000,-0.9,2.1,10.0,0.006029780022799969
44500,-1.0,2.0,9.0,0.008129924535751343
45000,-0.9,2.1,10.0,0.01639857329428196
45500,-1.0,2.0,8.0,0.010815978981554508
46000,-1.0,2.0,8.0,0.007707566022872925
46500,-1.0,2.0,8.0,0.003491201438009739
47000,-1.0,2.0,9.0,0.008281132206320763
47500,-0.9,2.1,10.0,0.011983895674347878
48000,-1.0,2.0,9.0,0.008497708477079868
48500,-1.0,2.0,10.0,0.003054254688322544
49000,-1.0,2.0,9.0,0.004831973928958178
49500,-1.0,2.0,9.0,0.004916985519230366
50000,-1.0,2.0,9.0,0.022934170439839363
50500,-1.0,2.0,8.0,0.0016891052946448326
51000,-1.0,2.0,8.0,0.0049131885170936584
51500,-1.0,2.0,9.0,0.004933626390993595
52000,-0.9,2.1,10.0,0.016310876235365868
52500,-1.0,2.0,8.0,0.0038692522794008255
53000,-1.0,2.0,8.0,0.0039370120503008366
53500,-1.0,2.0,8.0,0.003311517182737589
54000,-1.0,2.0,9.0,0.004875189159065485
54500,-1.0,2.0,9.0,0.0033655730076134205
55000,-1.0,2.0,8.0,0.003999321721494198
55500,-0.91,2.09,11.0,0.006749460473656654
56000,-1.0,2.0,8.0,0.0025993280578404665
56500,-1.0,2.0,8.0,0.004587152041494846
57000,-1.0,2.0,9.0,0.007288690656423569
57500,-0.89,2.11,9.0,0.0027449452318251133
58000,-1.0,2.0,8.0,0.0032950297463685274
58500,-0.88,2.12,8.0,0.001911823870614171
59000,-1.0,2.0,10.0,0.00680913869291544
59500,-1.0,2.0,9.0,0.017210792750120163
60000,-1.0,2.0,11.0,0.0018921743612736464
60500,-1.0,2.0,8.0,0.009046261198818684
61000,-1.0,2.0,9.0,0.004721838980913162
61500,-0.9,2.1,10.0,0.0017470424063503742
62000,-1.0,2.0,8.0,0.002861694199964404
62500,-1.0,2.0,9.0,0.004782629199326038
63000,-1.0,2.0,8.0,0.009539943188428879
63500,-1.0,2.0,8.0,0.0038684471510350704
64000,-1.0,2.0,8.0,0.001220439444296062
64500,-1.0,2.0,8.0,0.002175005152821541
65000,-0.88,2.12,8.0,0.011486866511404514
65500,-1.0,2.0,8.0,0.013555934652686119
66000,-0.89,2.11,9.0,0.002462506527081132
66500,-0.91,2.09,11.0,0.005257134325802326
67000,-1.0,2.0,9.0,0.004886972717940807
67500,-0.73,2.27,11.0,0.0060102869756519794
68000,-1.0,2.0,10.0,0.008545853197574615
68500,-1.0,2.0,9.0,0.0025567037519067526
69000,-0.91,2.09,11.0,0.005576759576797485
69500,-1.0,2.0,8.0,0.002989670494571328
70000,-1.0,2.0,8.0,0.003369861515238881
70500,-1.0,2.0,9.0,0.0060162912122905254
71000,-0.88,2.12,8.0,0.0028582990635186434
71500,-1.0,2.0,8.0,0.0047717406414449215
72000,-1.0,2.0,9.0,0.0032320404425263405
72500,-1.0,2.0,8.0,0.004738470073789358
73000,-1.0,2.0,9.0,0.00337607366964221
73500,-0.88,2.12,8.0,0.004353298805654049
74000,-1.0,2.0,8.0,0.003921220079064369
74500,-1.0,2.0,8.0,0.017019174993038177
75000,-1.0,2.0,8.0,0.010193455964326859
75500,-1.0,2.0,8.0,0.01080790814012289
76000,-1.0,2.0,9.0,0.005704047158360481
76500,-1.0,2.0,10.0,0.006781347095966339
77000,-1.0,2.0,11.0,0.005875995848327875
77500,-0.89,2.11,9.0,0.0022449770476669073
78000,-1.0,2.0,8.0,0.005858459509909153
78500,-1.0,2.0,10.0,0.004088434390723705
79000,-1.0,2.0,8.0,0.0067019034177064896
79500,-1.0,2.0,8.0,0.0050651999190449715
80000,-1.0,2.0,8.0,0.0033896993845701218
80500,-1.0,2.0,8.0,0.007956580258905888
81000,-1.0,2.0,9.0,0.002574340673163533
81500,-1.0,2.0,9.0,0.0050206780433654785
82000,-1.0,2.0,10.0,0.006501443684101105
82500,-1.0,2.0,8.0,0.00369696831330657
83000,-1.0,2.0,8.0,0.004980343393981457
83500,-0.92,2.08,13.0,0.004246249329298735
84000,-1.0,2.0,9.0,0.0038459901697933674
84500,-1.0,2.0,10.0,0.0023377141915261745
85000,-1.0,2.0,9.0,0.005692923907190561
85500,-1.0,2.0,8.0,0.004815328400582075
86000,-1.0,2.0,8.0,0.004658441990613937
86500,-1.0,2.0,11.0,0.003008552361279726
87000,-1.0,2.0,10.0,0.007535647600889206
87500,-1.0,2.0,11.0,0.004711600486189127
88000,-1.0,2.0,8.0,0.008302241563796997
88500,-1.0,2.0,8.0,0.003914155997335911
89000,-0.88,2.12,8.0,0.00516007374972105
89500,-1.0,2.0,8.0,0.0038559490349143744
90000,-1.0,2.0,9.0,0.0064568230882287025
90500,-1.0,2.0,12.0,0.00982605665922165
91000,-1.0,2.0,9.0,0.00657521840184927
91500,-0.88,2.12,8.0,0.00277435383759439
92000,-1.0,2.0,9.0,0.004306155256927013
92500,-1.0,2.0,9.0,0.0076918755657970905
93000,-1.0,2.0,8.0,0.005004900973290205
93500,-1.0,2.0,9.0,0.004686224274337292
94000,-1.0,2.0,9.0,0.0052239177748560905
94500,-1.0,2.0,12.0,0.0020652362145483494
95000,-1.0,2.0,9.0,0.0019688322208821774
95500,-1.0,2.0,9.0,0.0037647720891982317
96000,-0.91,2.09,11.0,0.005255275405943394
96500,-1.0,2.0,8.0,0.0020666131749749184
97000,-1.0,2.0,9.0,0.0036439290270209312
97500,-0.9,2.1,10.0,0.003209275659173727
98000,-0.89,2.11,9.0,0.01023971475660801
98500,-1.0,2.0,8.0,0.00961812399327755
99000,-1.0,2.0,11.0,0.0036614928394556046
99500,-1.0,2.0,8.0,0.004355063661932945
100000,-1.0,2.0,8.0,0.0028699608519673347
100500,-1.0,2.0,10.0,0.004025530070066452
101000,-1.0,2.0,9.0,0.003647675272077322
101500,-1.0,2.0,10.0,0.004236432258039713
102000,-1.0,2.0,9.0,0.0024963137693703175
102500,-1.0,2.0,12.0,0.004981408827006817
103000,-1.0,2.0,8.0,0.0031791464425623417
103500,-1.0,2.0,10.0,0.0041311150416731834
104000,-1.0,2.0,8.0,0.010337856598198414
104500,-1.0,2.0,10.0,0.002965196967124939
105000,-0.88,2.12,8.0,0.004224719479680061
105500,-1.0,2.0,9.0,0.003671802580356598
106000,-1.0,2.0,10.0,0.0033871247433125973
106500,-1.0,2.0,9.0,0.008941927924752235
107000,-1.0,2.0,8.0,0.0057282475754618645
107500,-1.0,2.0,10.0,0.005519636906683445
108000,-1.0,2.0,10.0,0.007501298561692238
108500,-1.0,2.0,8.0,0.003046930767595768
109000,-1.0,2.0,8.0,0.005224329419434071
109500,-0.89,2.11,9.0,0.005766717717051506
110000,-1.0,2.0,9.0,0.00993882492184639
110500,-1.0,2.0,10.0,0.004306459799408913
111000,-1.0,2.0,8.0,0.002828337252140045
111500,-1.0,2.0,10.0,0.00483342632651329
112000,-1.0,2.0,9.0,0.0032788764219731092
112500,-0.89,2.11,9.0,0.0035837790928781033
113000,-0.92,2.08,12.0,0.0037677609361708164
113500,-1.0,2.0,9.0,0.004102661274373531
114000,-1.0,2.0,8.0,0.004148154519498348
114500,-0.8,2.2,10.0,0.004128339234739542
115000,-0.89,2.11,9.0,0.005845274776220322
115500,-1.0,2.0,9.0,0.0037813279777765274
116000,-1.0,2.0,8.0,0.008517637848854065
116500,-0.89,2.11,9.0,0.004554295912384987
117000,-0.89,2.11,9.0,0.003645060583949089
117500,-1.0,2.0,8.0,0.0038620131090283394
118000,-1.0,2.0,8.0,0.006383290980011225
118500,-1.0,2.0,8.0,0.004212487488985062
119000,-0.9,2.1,10.0,0.0038280049338936806
119500,-1.0,2.0,10.0,0.003651598934084177
120000,-1.0,2.0,10.0,0.004301423206925392
120500,-1.0,2.0,8.0,0.004517084918916225
121000,-1.0,2.0,8.0,0.004139693453907967
121500,-1.0,2.0,10.0,0.004945594817399979
122000,-1.0,2.0,8.0,0.011998778209090233
122500,-1.0,2.0,8.0,0.003689570352435112
123000,-1.0,2.0,8.0,0.005040305200964212
123500,-1.0,2.0,8.0,0.00436457060277462
124000,-1.0,2.0,9.0,0.004276601132005453
124500,-0.75,2.25,8.0,0.003918452654033899
125000,-0.9,2.1,10.0,0.003035586792975664
125500,-1.0,2.0,9.0,0.0022874525748193264
126000,-1.0,2.0,8.0,0.010548028163611889
126500,-1.0,2.0,10.0,0.005142782814800739
127000,-1.0,2.0,8.0,0.004599405452609062
127500,-1.0,2.0,10.0,0.005067035090178251
128000,-1.0,2.0,8.0,0.003640448907390237
128500,-1.0,2.0,10.0,0.0045419237576425076
129000,-1.0,2.0,12.0,0.0033218078315258026
129500,-1.0,2.0,8.0,0.006828767247498035
130000,-0.89,2.11,9.0,0.005445240065455437
130500,-1.0,2.0,8.0,0.004773959517478943
131000,-1.0,2.0,9.0,0.004365334287285805
131500,-1.0,2.0,9.0,0.009428786113858223
132000,-1.0,2.0,8.0,0.0030914624221622944
132500,-1.0,2.0,10.0,0.0048990678042173386
133000,-1.0,2.0,9.0,0.005850238725543022
133500,-1.0,2.0,9.0,0.0031213064212352037
134000,-1.0,2.0,8.0,0.00509997783228755
134500,-0.89,2.11,9.0,0.0040658279322087765
135000,-1.0,2.0,8.0,0.0044047292321920395
135500,-1.0,2.0,9.0,0.003913905471563339
136000,-1.0,2.0,9.0,0.002805915893986821
136500,-1.0,2.0,9.0,0.004963165149092674
137000,-1.0,2.0,9.0,0.004502815194427967
137500,-1.0,2.0,10.0,0.0041777403093874454
138000,-1.0,2.0,8.0,0.005833133589476347
138500,-1.0,2.0,10.0,0.003285463899374008
139000,-1.0,2.0,10.0,0.008740168996155262
139500,-0.91,2.09,11.0,0.0038540856912732124
140000,-0.89,2.11,9.0,0.0016031526029109955
140500,-1.0,2.0,10.0,0.004062709864228964
141000,-0.89,2.11,9.0,0.003909628838300705
141500,-1.0,2.0,9.0,0.004391849972307682
142000,-1.0,2.0,8.0,0.0042229387909173965
142500,-0.88,2.12,8.0,0.0023451941087841988
143000,-0.78,2.22,9.0,0.004250623751431704
143500,-1.0,2.0,10.0,0.004333591088652611
144000,-0.91,2.09,11.0,0.00450813677161932
144500,-1.0,2.0,9.0,0.003984877839684486
145000,-1.0,2.0,9.0,0.002711944282054901
145500,-1.0,2.0,8.0,0.0026403293013572693
146000,-1.0,2.0,11.0,0.0034358275588601828
146500,-0.89,2.11,9.0,0.003534439718350768
147000,-1.0,2.0,9.0,0.0045233312994241714
147500,-1.0,2.0,8.0,0.0039591193199157715
148000,-0.89,2.11,9.0,0.00571047468110919
148500,-1.0,2.0,8.0,0.002330274321138859
149000,-1.0,2.0,9.0,0.006113243289291859
149500,-1.0,2.0,8.0,0.0030554779805243015
150000,-1.0,2.0,9.0,0.003012282308191061
150500,-1.0,2.0,9.0,0.006787473801523447
151000,-1.0,2.0,10.0,0.003669618396088481
151500,-1.0,2.0,10.0,0.003400553483515978
152000,-1.0,2.0,8.0,0.003864079946652055
152500,-0.9,2.1,10.0,0.004192977678030729
153000,-1.0,2.0,9.0,0.002668302971869707
153500,-1.0,2.0,8.0,0.005101504269987345
154000,-1.0,2.0,10.0,0.003483261913061142
154500,-1.0,2.0,10.0,0.0029431250877678394
155000,-1.0,2.0,9.0,0.007135085295885801
155500,-1.0,2.0,11.0,0.0037279604002833366
156000,-1.0,2.0,10.0,0.003372783772647381
156500,-1.0,2.0,8.0,0.0032624457962810993
157000,-1.0,2.0,8.0,0.0033115334808826447
157500,-1.0,2.0,8.0,0.003262103535234928
158000,-1.0,2.0,8.0,0.002799110719934106
158500,-1.0,2.0,9.0,0.004864700138568878
159000,-1.0,2.0,8.0,0.005796379875391722
159500,-1.0,2.0,8.0,0.002524243202060461
160000,-1.0,2.0,10.0,0.0028355091344565153
160500,-0.91,2.09,11.0,0.0022960901260375977
161000,-0.89,2.11,9.0,0.002752386499196291
161500,-1.0,2.0,10.0,0.003996176645159721
162000,-1.0,2.0,9.0,0.0038466942496597767
162500,-1.0,2.0,8.0,0.003947282209992409
163000,-0.88,2.12,8.0,0.002390701789408922
163500,-1.0,2.0,8.0,0.005673884879797697
164000,-1.0,2.0,9.0,0.0054488405585289
164500,-1.0,2.0,9.0,0.0029306719079613686
165000,-1.0,2.0,8.0,0.003023098222911358
165500,-0.91,2.09,11.0,0.0028881863690912724
166000,-1.0,2.0,10.0,0.003248902503401041
166500,-1.0,2.0,8.0,0.0030916775576770306
167000,-1.0,2.0,8.0,0.003445286536589265
167500,-1.0,2.0,8.0,0.0063206953927874565
168000,-1.0,2.0,9.0,0.00278680631890893
168500,-1.0,2.0,9.0,0.0031037521548569202
169000,-1.0,2.0,9.0,0.0030283841770142317
169500,-1.0,2.0,8.0,0.005971493665128946
170000,-1.0,2.0,8.0,0.0027744502294808626
170500,-1.0,2.0,9.0,0.005871762055903673
171000,-1.0,2.0,10.0,0.006074252538383007
171500,-1.0,2.0,9.0,0.00424994807690382
172000,-1.0,2.0,10.0,0.004725762642920017
172500,-1.0,2.0,8.0,0.003939884714782238
173000,-1.0,2.0,8.0,0.0032822112552821636
173500,-1.0,2.0,10.0,0.007928527891635895
174000,-1.0,2.0,8.0,0.004276203457266092
174500,-1.0,2.0,8.0,0.004973873496055603
175000,-1.0,2.0,11.0,0.0030777771025896072
175500,-0.89,2.11,9.0,0.0030092494562268257
176000,-1.0,2.0,8.0,0.0025993925519287586
176500,-0.89,2.11,9.0,0.011888813227415085
177000,-1.0,2.0,9.0,0.0039942506700754166
177500,-0.89,2.11,9.0,0.002092458074912429
178000,-1.0,2.0,10.0,0.0055007329210639
178500,-1.0,2.0,8.0,0.0017135640373453498
179000,-1.0,2.0,10.0,0.003695886116474867
179500,-1.0,2.0,9.0,0.002179160714149475
180000,-1.0,2.0,8.0,0.0027268133126199245
180500,-0.88,2.12,8.0,0.0035225972533226013
181000,-1.0,2.0,9.0,0.0043548597022891045
181500,-1.0,2.0,9.0,0.004374491050839424
182000,-1.0,2.0,8.0,0.0036381990648806095
182500,-1.0,2.0,8.0,0.004530809354037046
183000,-1.0,2.0,8.0,0.0031618287321180105
183500,-1.0,2.0,9.0,0.0032227328047156334
184000,-1.0,2.0,8.0,0.0028441273607313633
184500,-1.0,2.0,9.0,0.005493517965078354
185000,-1.0,2.0,9.0,0.0030048461630940437
185500,-1.0,2.0,8.0,0.0024604271166026592
186000,-1.0,2.0,10.0,0.006187638267874718
186500,-0.89,2.11,9.0,0.0044580246321856976
187000,-1.0,2.0,9.0,0.003906874917447567
187500,-1.0,2.0,10.0,0.0021467183250933886
188000,-0.88,2.12,8.0,0.001605518627911806
188500,-1.0,2.0,9.0,0.005999774672091007
189000,-1.0,2.0,11.0,0.004324381239712238
189500,-1.0,2.0,8.0,0.004014228470623493
190000,-1.0,2.0,9.0,0.003193792887032032
190500,-0.89,2.11,9.0,0.003157602623105049
191000,-1.0,2.0,9.0,0.0026613310910761356
191500,-1.0,2.0,9.0,0.002907396527007222
192000,-1.0,2.0,9.0,0.0051515838131308556
192500,-0.88,2.12,8.0,0.0024749720469117165
193000,-0.88,2.12,8.0,0.0031127433758229017
193500,-1.0,2.0,9.0,0.00402597663924098
194000,-1.0,2.0,8.0,0.003961001988500357
194500,-1.0,2.0,8.0,0.004421598743647337
195000,-0.91,2.09,11.0,0.0071700094267725945
195500,-1.0,2.0,10.0,0.004339301958680153
196000,-1.0,2.0,8.0,0.002565339207649231
196500,-1.0,2.0,9.0,0.00845411792397499
197000,-1.0,2.0,11.0,0.005449571646749973
197500,-1.0,2.0,8.0,0.003082746872678399
198000,-1.0,2.0,8.0,0.0052139367908239365
198500,-1.0,2.0,9.0,0.0038874256424605846
199000,-1.0,2.0,9.0,0.004570040851831436
199500,-1.0,2.0,9.0,0.0024163913913071156
200000,-1.0,2.0,8.0,0.0032653138041496277
